date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-06-05,51.72,52.18,51.665,51.71,13648011,44.7517780306229,45.1498023518542,44.7041881661278,44.7431253279874,13648011,0.0,1.0
2017-06-06,51.81,52.03,51.24,51.32,14842171,44.8296523543421,45.0200118123223,44.3364483041206,44.4056699252043,14842171,0.0,1.0
2017-06-07,52.09,52.31,51.7,51.84,16883825,45.0719280281351,45.2622874861153,44.7344726253519,44.8556104622484,16883825,0.0,1.0
2017-06-08,52.56,53.03,51.88,52.0,22548357,45.4786050520019,45.8852820758687,44.8902212727903,44.9940537044159,22548357,0.0,1.0
2017-06-09,53.8,53.95,52.8,52.86,25624064,46.5515401787995,46.6813307183315,45.686269915253,45.7381861310658,25624064,0.0,1.0
2017-06-12,54.09,54.585,53.94,53.98,22640476,46.802468555228,47.2307773356835,46.672678015696,46.7072888262379,22640476,0.0,1.0
2017-06-13,54.45,54.69,54.28,54.35,17864662,47.1139658501047,47.3216307133558,46.9668699053018,47.0274388237501,17864662,0.0,1.0
2017-06-14,54.53,54.64,53.57,54.09,16531729,47.1831874711884,47.2783672001785,46.3525280181838,46.802468555228,16531729,0.0,1.0
2017-06-15,53.9,54.45,53.81,54.04,17215329,46.6380672051541,47.1139658501047,46.560192881435,46.7592050420507,17215329,0.0,1.0
2017-06-16,53.89,54.24,53.65,53.93,23467381,46.6294145025187,46.9322590947599,46.4217496392675,46.6640253130605,23467381,0.0,1.0
2017-06-19,54.24,54.64,54.12,54.31,15304180,46.9322590947599,47.2783672001785,46.8284266631344,46.9928280132082,15304180,0.0,1.0
2017-06-20,53.46,54.095,53.425,54.06,13566904,46.2573482891937,46.8067949065457,46.2270638299696,46.7765104473216,13566904,0.0,1.0
2017-06-21,52.98,53.48,52.8,53.47,12603026,45.8420185626914,46.2746536944646,45.686269915253,46.2660009918292,12603026,0.0,1.0
2017-06-22,52.49,52.89,52.22,52.8,15308790,45.4180361335536,45.7641442389722,45.1844131623961,45.686269915253,15308790,0.0,1.0
