date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-11,118.01,126.1,117.84,126.03,11753674,101.994977152669,108.98709108509,101.848047688081,108.926590717319,12294343,0.0,1.0
2020-06-12,121.91,123.12,119.28,121.25,6218003,105.365711928496,106.411503999971,103.092626682233,104.79527988951,6504031,0.0,1.0
2020-06-15,121.65,122.37,118.29,119.19,5148756,105.140996276774,105.76328577385,102.236978623754,103.014840495098,5385598,0.0,1.0
2020-06-16,125.15,127.5,123.16,125.0,5605791,108.166014665337,110.197098440516,106.446075638697,108.036371020113,5863657,0.0,1.0
2020-06-17,124.15,126.25,123.4,125.83,3153862,107.301723697176,109.116734730314,106.653505471056,108.753732523687,3298939,0.0,1.0
2020-06-18,124.16,124.4,122.33,123.0,2860286,107.310366606858,107.517796439217,105.728714135124,106.307789083791,2991859,0.0,1.0
2020-06-19,122.47,126.82,122.25,126.17,8098994,105.849714870666,109.609380582166,105.659570857671,109.047591452862,8471547,0.0,1.0
2020-06-22,121.07,122.5,120.53,122.12,4762601,104.639707515241,105.875643599711,104.172990392434,105.54721303181,4981680,0.0,1.0
2020-06-23,119.41,122.9,119.23,122.01,6628278,103.204984508094,106.221359986975,103.049412133825,105.452141025312,6933178,0.0,1.0
2020-06-24,116.42,118.32,115.88,118.32,6747421,100.620754513293,102.262907352798,100.154037390486,102.262907352798,7057802,0.0,1.0
2020-06-25,119.03,119.21,116.1,116.76,6128720,102.876553940193,103.032126314462,100.344181403481,100.914613442467,6410641,0.0,1.0
2020-06-26,117.19,118.99,116.26,118.26,10749166,101.286258558777,102.841982301466,100.482467958387,102.211049894709,11243627,0.0,1.0
2020-06-29,119.75,119.78,117.37,117.98,4159488,103.498843437269,103.524772166313,101.441830933046,101.969048423624,4350824,0.0,1.0
2020-06-30,120.77,121.2,119.0,119.19,3916381,104.380420224793,104.752065341102,102.850625211148,103.014840495098,4096534,0.0,1.0
2020-07-01,118.54,121.23,118.37,120.27,4657168,102.453051365794,104.777994070147,102.306121901206,103.948274740712,4871397,0.0,1.0
2020-07-02,119.7,121.42,119.26,119.69,3745663,103.45562888886,104.942209354097,103.07534086287,103.446985979179,3917963,0.0,1.0
2020-07-06,120.19,121.85,119.46,121.25,4044188,103.879131463259,105.313854470406,103.248199056502,104.79527988951,4230220,0.0,1.0
2020-07-07,117.58,119.51,117.33,119.0,4278088,101.623332036359,103.29141360491,101.407259294319,102.850625211148,4474880,0.0,1.0
2020-07-08,117.71,118.64,116.48,118.06,5191792,101.73568986222,102.53948046261,100.672611971382,102.038191701077,5430614,0.0,1.0
2020-07-09,115.71,118.0,115.2,118.0,4760875,100.007107925898,101.986334242987,99.5663195321364,101.986334242987,4979875,0.0,1.0
2020-07-10,118.35,118.57,115.29,115.5,4285088,102.288836081843,102.478980094839,99.6441057192709,99.8256068225846,4482202,0.0,1.0
2020-07-13,119.2,120.99,118.66,119.78,4644595,103.02348340478,104.570564237788,102.556766281973,103.524772166313,4858246,0.0,1.0
2020-07-14,120.6,120.89,117.92,118.62,4531393,104.233490760205,104.484135140972,101.917190965534,102.522194643247,4739837,0.0,1.0
2020-07-15,123.0,123.96,122.15,122.4,4470095,106.307789083791,107.137508413226,105.573141760855,105.789214502895,4675719,0.0,1.0
2020-07-16,124.01,124.48,122.16,122.68,4328856,107.180722961634,107.58693971667,105.581784670536,106.03121597398,4527983,0.0,1.0
2020-07-17,125.11,125.63,123.2,124.39,3983972,108.131443026611,108.580874330055,106.480647277424,107.509153529535,4167234,0.0,1.0
2020-07-20,126.37,127.07,125.14,126.07,9737157,109.220449646494,109.825453324206,108.157371755656,108.961162356045,10185066,0.0,1.0
2020-07-21,126.06,132.17,125.8,131.16,15356679,108.952519446364,114.233337261827,108.727803794642,113.360403383984,16063086,0.0,1.0
2020-07-22,128.67,129.47,125.8,125.9,8195366,111.208318873264,111.899751647793,108.727803794642,108.814232891458,8572352,0.0,1.0
2020-07-23,127.33,129.37,127.15,129.1,4220136,110.050168975928,111.813322550976,109.894596601659,111.579963989573,4414262,0.0,1.0
2020-07-24,125.79,127.6459,125.5,126.48,3531076,108.71916088496,110.32319849277,108.468516504194,109.315521652991,3693505,0.0,1.0
2020-07-27,126.21,126.32,124.71,124.86,3733547,109.082163091588,109.177235098086,107.785726639347,107.915370284571,3905290,0.0,1.0
2020-07-28,124.47,126.34,124.15,125.82,4178176,107.578296806988,109.194520917449,107.301723697176,108.745089614005,4370372,0.0,1.0
2020-07-29,125.32,125.99,124.07,124.56,2833141,108.312944129925,108.892019078593,107.232580419724,107.656082994122,2963465,0.0,1.0
2020-07-30,122.9,123.9046,121.64,123.71,3988062,106.221359986975,107.08962669359,105.132353367093,106.921435671186,4171512,0.0,1.0
2020-07-31,122.94,122.99,121.09,122.71,5277652,106.255931625702,106.29914617411,104.656993334604,106.057144703025,5520423,0.0,1.0
2020-08-03,124.31,124.41,122.15,123.5,3526574,107.440010252082,107.526439348898,105.573141760855,106.739934567872,3688796,0.0,1.0
2020-08-04,125.84,125.86,123.82,123.82,3431366,108.762375433368,108.779661252732,107.016507677683,107.016507677683,3589208,0.0,1.0
2020-08-05,125.45,126.75,124.61,126.73,3675400,108.425301955786,109.548880214395,107.699297542531,109.531594395032,3844468,0.0,1.0
2020-08-06,126.12,126.26,125.0,125.0,3417131,109.004376904453,109.125377639996,108.036371020113,108.036371020113,3574319,0.0,1.0
