date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-06-07,2.41,2.4799,2.35,2.35,147431,2.41,2.4799,2.35,2.35,147431,0.0,1.0
2021-06-08,2.3,2.46,2.3,2.43,165425,2.3,2.46,2.3,2.43,165425,0.0,1.0
2021-06-09,2.31,2.4,2.27,2.32,151925,2.31,2.4,2.27,2.32,151925,0.0,1.0
2021-06-10,2.41,2.46,2.3073,2.34,210593,2.41,2.46,2.3073,2.34,210593,0.0,1.0
2021-06-11,2.49,2.49,2.32,2.43,234921,2.49,2.49,2.32,2.43,234921,0.0,1.0
2021-06-14,2.61,2.64,2.41,2.47,305255,2.61,2.64,2.41,2.47,305255,0.0,1.0
2021-06-15,2.56,2.75,2.45,2.62,222491,2.56,2.75,2.45,2.62,222491,0.0,1.0
2021-06-16,2.38,2.65,2.3,2.5,365330,2.38,2.65,2.3,2.5,365330,0.0,1.0
2021-06-17,2.53,2.84,2.5,2.6159,1597034,2.53,2.84,2.5,2.6159,1597034,0.0,1.0
2021-06-18,2.42,2.59,2.42,2.59,1000869,2.42,2.59,2.42,2.59,1000869,0.0,1.0
2021-06-21,2.36,2.52,2.32,2.42,240352,2.36,2.52,2.32,2.42,240352,0.0,1.0
2021-06-22,2.3,2.38,2.24,2.34,171750,2.3,2.38,2.24,2.34,171750,0.0,1.0
2021-06-23,2.41,2.57,2.39,2.48,416456,2.41,2.57,2.39,2.48,416456,0.0,1.0
2021-06-24,2.47,2.83,2.38,2.4,1236977,2.47,2.83,2.38,2.4,1236977,0.0,1.0
2021-06-25,2.5,2.52,2.358,2.47,311758,2.5,2.52,2.358,2.47,311758,0.0,1.0
2021-06-28,2.37,2.475,2.27,2.47,381536,2.37,2.475,2.27,2.47,381536,0.0,1.0
2021-06-29,2.34,2.4118,2.3,2.41,198627,2.34,2.4118,2.3,2.41,198627,0.0,1.0
2021-06-30,2.345,2.39,2.2899,2.31,331520,2.345,2.39,2.2899,2.31,331520,0.0,1.0
2021-07-01,2.35,2.5,2.28,2.38,511127,2.35,2.5,2.28,2.38,511127,0.0,1.0
2021-07-02,2.25,2.36,2.22,2.36,260380,2.25,2.36,2.22,2.36,260380,0.0,1.0
2021-07-06,2.22,2.32,2.2,2.27,324615,2.22,2.32,2.2,2.27,324615,0.0,1.0
2021-07-07,2.25,2.25,2.11,2.21,170100,2.25,2.25,2.11,2.21,170100,0.0,1.0
2021-07-08,2.25,2.3,2.15,2.19,251290,2.25,2.3,2.15,2.19,251290,0.0,1.0
2021-07-09,2.2,2.25,2.1,2.22,146769,2.2,2.25,2.1,2.22,146769,0.0,1.0
2021-07-12,2.17,2.23,2.15,2.23,86642,2.17,2.23,2.15,2.23,86642,0.0,1.0
2021-07-13,2.02,2.1426,2.0,2.14,373149,2.02,2.1426,2.0,2.14,373149,0.0,1.0
2021-07-14,2.03,2.1,2.0,2.04,435199,2.03,2.1,2.0,2.04,435199,0.0,1.0
2021-07-15,1.98,2.05,1.9516,2.03,251217,1.98,2.05,1.9516,2.03,251217,0.0,1.0
2021-07-16,1.9,2.06,1.89,1.97,409172,1.9,2.06,1.89,1.97,409172,0.0,1.0
2021-07-19,1.82,1.9,1.8001,1.85,197079,1.82,1.9,1.8001,1.85,197079,0.0,1.0
2021-07-20,1.84,1.84,1.73,1.8,465879,1.84,1.84,1.73,1.8,465879,0.0,1.0
2021-07-21,1.82,1.85,1.7801,1.81,266863,1.82,1.85,1.7801,1.81,266863,0.0,1.0
2021-07-22,1.815,1.84,1.79,1.81,258802,1.815,1.84,1.79,1.81,258802,0.0,1.0
2021-07-23,2.07,2.25,1.76,1.81,3321683,2.07,2.25,1.76,1.81,3321683,0.0,1.0
2021-07-26,1.94,2.125,1.9,2.02,748307,1.94,2.125,1.9,2.02,748307,0.0,1.0
2021-07-27,2.09,2.34,1.98,1.98,1634788,2.09,2.34,1.98,1.98,1634788,0.0,1.0
2021-07-28,2.01,2.13,2.01,2.06,373153,2.01,2.13,2.01,2.06,373153,0.0,1.0
2021-07-29,2.05,2.1,2.02,2.06,213050,2.05,2.1,2.02,2.06,213050,0.0,1.0
2021-07-30,2.13,2.23,2.0,2.04,1283238,2.13,2.23,2.0,2.04,1283238,0.0,1.0
2021-08-02,2.1,2.19,2.08,2.16,388928,2.1,2.19,2.08,2.16,388928,0.0,1.0
2021-08-03,2.08,2.15,2.0116,2.15,285654,2.08,2.15,2.0116,2.15,285654,0.0,1.0
2021-08-04,2.08,2.13,2.02,2.04,199614,2.08,2.13,2.02,2.04,199614,0.0,1.0
2021-08-05,2.04,2.0799,2.02,2.07,94986,2.04,2.0799,2.02,2.07,94986,0.0,1.0
2021-08-06,1.96,2.04,1.94,2.04,204364,1.96,2.04,1.94,2.04,204364,0.0,1.0
2021-08-09,2.01,2.01,1.9401,1.99,117559,2.01,2.01,1.9401,1.99,117559,0.0,1.0
2021-08-10,1.98,2.0,1.94,2.0,158300,1.98,2.0,1.94,2.0,158300,0.0,1.0
2021-08-11,1.94,2.0,1.92,1.96,211350,1.94,2.0,1.92,1.96,211350,0.0,1.0
2021-08-12,1.85,1.92,1.8,1.92,342800,1.85,1.92,1.8,1.92,342800,0.0,1.0
2021-08-13,1.72,1.8882,1.712,1.83,273764,1.72,1.8882,1.712,1.83,273764,0.0,1.0
2021-08-16,1.68,1.75,1.66,1.74,305258,1.68,1.75,1.66,1.74,305258,0.0,1.0
2021-08-17,1.74,1.87,1.7,1.75,1780486,1.74,1.87,1.7,1.75,1780486,0.0,1.0
2021-08-18,1.62,1.74,1.58,1.71,538988,1.62,1.74,1.58,1.71,538988,0.0,1.0
2021-08-19,1.61,1.64,1.55,1.59,161614,1.61,1.64,1.55,1.59,161614,0.0,1.0
2021-08-20,1.53,1.56,1.51,1.56,163465,1.53,1.56,1.51,1.56,163465,0.0,1.0
2021-08-23,1.52,1.54,1.46,1.5,275371,1.52,1.54,1.46,1.5,275371,0.0,1.0
2021-08-24,1.57,1.58,1.47,1.52,438501,1.57,1.58,1.47,1.52,438501,0.0,1.0
2021-08-25,1.6,1.6,1.55,1.57,144540,1.6,1.6,1.55,1.57,144540,0.0,1.0
2021-08-26,1.62,1.66,1.6033,1.62,122233,1.62,1.66,1.6033,1.62,122233,0.0,1.0
2021-08-27,1.64,1.66,1.581,1.59,114582,1.64,1.66,1.581,1.59,114582,0.0,1.0
2021-08-30,1.58,1.65,1.54,1.62,248562,1.58,1.65,1.54,1.62,248562,0.0,1.0
2021-08-31,1.66,1.71,1.63,1.71,308897,1.66,1.71,1.63,1.71,308897,0.0,1.0
2021-09-01,1.65,1.7,1.63,1.6591,76039,1.65,1.7,1.63,1.6591,76039,0.0,1.0
2021-09-02,2.0,2.1,1.83,1.85,14120270,2.0,2.1,1.83,1.85,14120270,0.0,1.0
2021-09-03,2.08,2.09,1.87,1.97,1808138,2.08,2.09,1.87,1.97,1808138,0.0,1.0
2021-09-07,1.99,2.05,1.8762,2.01,585334,1.99,2.05,1.8762,2.01,585334,0.0,1.0
2021-09-08,1.93,1.96,1.88,1.91,228938,1.93,1.96,1.88,1.91,228938,0.0,1.0
2021-09-09,1.96,2.01,1.83,1.84,417901,1.96,2.01,1.83,1.84,417901,0.0,1.0
2021-09-10,1.9,1.97,1.8601,1.97,136668,1.9,1.97,1.8601,1.97,136668,0.0,1.0
2021-09-13,1.705,1.87,1.7,1.87,324591,1.705,1.87,1.7,1.87,324591,0.0,1.0
2021-09-14,1.66,1.76,1.65,1.76,145757,1.66,1.76,1.65,1.76,145757,0.0,1.0
2021-09-15,1.72,1.8,1.6,1.63,917022,1.72,1.8,1.6,1.63,917022,0.0,1.0
