date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-11,26.79,28.43,26.7,27.2,75442634,25.9445774360228,27.5328233111657,25.8574176014113,26.3416389048086,75442634,0.0,1.0
2020-06-12,27.97,28.23,27.35,28.0,51271309,27.0873397120403,27.3391347898068,26.4869052958277,27.1163929902441,51271309,0.0,1.0
2020-06-15,28.21,28.39,26.56,26.86,48214247,27.3197659376709,27.4940856068939,25.7218356364601,26.0123684184984,48214247,0.0,1.0
2020-06-16,28.52,29.65,27.77,29.43,52854726,27.6199831457772,28.7143232914549,26.8936511906814,28.5012659179601,52854726,0.0,1.0
2020-06-17,27.45,28.55,27.35,28.5,38558116,26.5837495565072,27.649036423981,26.4869052958277,27.6006142936413,38558116,0.0,1.0
2020-06-18,27.55,27.93,26.93,27.1,33555454,26.6805938171866,27.0486020077685,26.0801594009741,26.2447946441291,33555454,0.0,1.0
2020-06-19,27.6,28.05,27.01,28.0,71899322,26.7290159475263,27.1648151205838,26.1576348095176,27.1163929902441,71899322,0.0,1.0
2020-06-22,27.35,27.63,26.89,27.27,32751553,26.4869052958277,26.7580692257302,26.0414216967023,26.4094298872842,32751553,0.0,1.0
2020-06-23,27.23,28.29,27.19,27.78,47218565,26.3706921830124,27.3972413462145,26.3319544787406,26.9033356167493,47218565,0.0,1.0
2020-06-24,26.12,27.03,25.99,26.96,57280648,25.2957208894706,26.1770036616535,25.1698233505873,26.1092126791779,57280648,0.0,1.0
2020-06-25,27.37,27.41,25.89,25.96,44902927,26.5062741479636,26.5450118522354,25.0729790899078,25.1407700723835,44902927,0.0,1.0
2020-06-26,25.34,26.4,25.25,26.1,81084876,24.5403356561709,25.566884819373,24.4531758215594,25.2763520373347,81084876,0.0,1.0
2020-06-29,25.7,25.9,25.26,25.59,43769204,24.8889749946169,25.0826635159758,24.4628602476274,24.7824463078695,43769204,0.0,1.0
2020-06-30,25.6,25.87,25.17,25.21,46573800,24.7921307339375,25.053610237772,24.3757004130159,24.4144381172876,46573800,0.0,1.0
2020-07-01,25.09,25.96,24.93,25.73,37483656,24.2982250044723,25.1407700723835,24.1432741873852,24.9180282728207,37483656,0.0,1.0
2020-07-02,25.34,26.17,25.1,25.75,36968021,24.5403356561709,25.3441430198103,24.3079094305402,24.9373971249566,36968021,0.0,1.0
2020-07-06,25.49,26.02,24.98,25.82,46900732,24.6856020471901,25.1988766287911,24.1916963177249,25.0051881074322,46900732,0.0,1.0
2020-07-07,24.46,25.22,24.34,25.2,36829396,23.6881061621918,24.4241225433556,23.5718930493765,24.4047536912197,36829396,0.0,1.0
2020-07-08,24.55,24.78,24.07,24.44,38373393,23.7752659968033,23.998007796366,23.310413545542,23.6687373100559,38373393,0.0,1.0
2020-07-09,24.04,24.78,23.71,24.5,38019800,23.2813602673381,23.998007796366,22.961774207096,23.7268438664636,38019800,0.0,1.0
2020-07-10,25.47,25.53,24.15,24.18,56448737,24.6662331950542,24.7243397514619,23.3878889540855,23.4169422322894,56448737,0.0,1.0
2020-07-13,25.41,26.04,24.94,25.82,50881726,24.6081266386465,25.218245480927,24.1529586134531,25.0051881074322,50881726,0.0,1.0
2020-07-14,24.25,24.39,23.33,23.92,118729405,23.484733214765,23.6203151797162,22.5937660165141,23.1651471545228,118729405,0.0,1.0
2020-07-15,25.35,25.55,24.84,24.98,61661818,24.5500200822389,24.7437086035977,24.0561143527737,24.1916963177249,61661818,0.0,1.0
2020-07-16,25.46,26.09,24.82,24.91,48647274,24.6565487689862,25.2666676112667,24.0367455006378,24.1239053352493,48647274,0.0,1.0
2020-07-17,24.95,25.64,24.86,25.49,39182223,24.1626430395211,24.8308684382092,24.0754832049096,24.6856020471901,39182223,0.0,1.0
2020-07-20,24.57,24.88,24.4,24.72,38631498,23.7946348489392,24.0948520570455,23.6299996057841,23.9399012399584,38631498,0.0,1.0
2020-07-21,26.2,26.28,24.71,24.75,58381042,25.3731962980141,25.4506717065577,23.9302168138904,23.9689545181622,58381042,0.0,1.0
2020-07-22,26.26,26.35,25.82,26.13,41030493,25.4313028544218,25.5184626890333,25.0051881074322,25.3054053155385,41030493,0.0,1.0
